genus,family
Soromanes,Dryopteridaceae
Stenolepia,Dryopteridaceae
Allostelites,Equisetaceae
Hippochaete,Equisetaceae
Acropterygium,Gleicheniaceae
Calymella,Gleicheniaceae
Gleicheniastrum,Gleicheniaceae
Hicriopteris,Gleicheniaceae
Mesosorus,Gleicheniaceae
Platyzoma,Gleicheniaceae
Amphipterum,Hymenophyllaceae
Apteropteris,Hymenophyllaceae
Buesia,Hymenophyllaceae
Cardiomanes,Hymenophyllaceae
Craspedoneuron,Hymenophyllaceae
Craspedophyllum,Hymenophyllaceae
Crepidophyllum,Hymenophyllaceae
Crepidopteris,Hymenophyllaceae
Davalliopsis,Hymenophyllaceae
Dermatophlebium,Hymenophyllaceae
Diploophyllum,Hymenophyllaceae
Feea,Hymenophyllaceae
Gonocormus,Hymenophyllaceae
Hemicyatheon,Hymenophyllaceae
Hemiphlebium,Hymenophyllaceae
Homoeotes,Hymenophyllaceae
Hymenoglossum,Hymenophyllaceae
Hymenostachys,Hymenophyllaceae
Lacostea,Hymenophyllaceae
Lacosteopsis,Hymenophyllaceae
Lecanolepis,Hymenophyllaceae
Leptocionium,Hymenophyllaceae
Leucomanes,Hymenophyllaceae
Macroglena,Hymenophyllaceae
Maschalosorus,Hymenophyllaceae
Mecodium,Hymenophyllaceae
Meringium,Hymenophyllaceae
Microgonium,Hymenophyllaceae
Microtrichomanes,Hymenophyllaceae
Mortoniopteris,Hymenophyllaceae
Myriodon,Hymenophyllaceae
Myrmecostylum,Hymenophyllaceae
Nesopteris,Hymenophyllaceae
Neuromanes,Hymenophyllaceae
Neurophyllum,Hymenophyllaceae
Odontomanes,Hymenophyllaceae
Phlebiophyllum,Hymenophyllaceae
Pleuromanes,Hymenophyllaceae
Pteromanes,Hymenophyllaceae
Ptilophyllum,Hymenophyllaceae
Ptychomanes,Hymenophyllaceae
Ptychophyllum,Hymenophyllaceae
Pyxidaria,Hymenophyllaceae
Ragatelus,Hymenophyllaceae
Reediella,Hymenophyllaceae
Rosenstockia,Hymenophyllaceae
Selenodesmium,Hymenophyllaceae
Serpyllopsis,Hymenophyllaceae
Sphaerocionium,Hymenophyllaceae
Taschneria,Hymenophyllaceae
Trigonophyllum,Hymenophyllaceae
Achomanes,Hymenophyllaceae
Habrodictyon,Hymenophyllaceae
Pseudomecodium,Hymenophyllaceae
Selanodesmium,Hymenophyllaceae
Monochlaena,Hypodematiaceae
Tegularia,Hypodematiaceae
Calamaria,Isoetaceae
Cephaloceraton,Isoetaceae
Isoetella,Isoetaceae
Stylites,Isoetaceae
Guerinia,Lindsaeaceae
Humblotiella,Lindsaeaceae
Isoloma,Lindsaeaceae
Lindsaenium,Lindsaeaceae
Lindsaeopsis,Lindsaeaceae
Lindsayopsis,Lindsaeaceae
Odontoloma,Lindsaeaceae
Ormoloma,Lindsaeaceae
Protolindsaya,Lindsaeaceae
Sambirania,Lindsaeaceae
Schizolegnia,Lindsaeaceae
Schizoloma,Lindsaeaceae
Stenoloma,Lindsaeaceae
Synaphlebium,Lindsaeaceae
Hemicardion,Lomariopsidaceae
Heteronevron,Lomariopsidaceae
Thysanosoria,Lomariopsidaceae
Antiosorus,Lonchitidaceae
Copodium,Lycopodiaceae
Lepidotis,Lycopodiaceae
Lycopodiodes,Lycopodiaceae
Plananthus,Lycopodiaceae
Urostachys,Lycopodiaceae
Cteisium,Lygodiaceae
Gisopteris,Lygodiaceae
Hugona,Lygodiaceae
Hydroglossum,Lygodiaceae
Lygodictyon,Lygodiaceae
Odontopteris,Lygodiaceae
Ramondia,Lygodiaceae
Ugena,Lygodiaceae
Vallifilix,Lygodiaceae
Archangiopteris,Marattiaceae
Danaeopsis,Marattiaceae
Discostegia,Marattiaceae
Heterodanaea,Marattiaceae
Kaulfussia,Marattiaceae
Macroglossum,Marattiaceae
Myriotheca,Marattiaceae
Protangiopteris,Marattiaceae
Protomarattia,Marattiaceae
Psilodochea,Marattiaceae
Stibasia,Marattiaceae
Calamistrum,Marsileaceae
Lemma,Marsileaceae
Spheroidea,Marsileaceae
Zalusianskya,Marsileaceae
Zaluzianskia,Marsileaceae
Prionopteris,Matoniaceae
Amphidesmium,Metaxyaceae
Lepidoneuron,Nephrolepidaceae
Leptopleuron,Nephrolepidaceae
Lindsayoides,Nephrolepidaceae
Lepidonevron,Oleandraceae
Neuronia,Oleandraceae
Ophiopteris,Oleandraceae
Calypterium,Onocleaceae
Pteretis,Onocleaceae
Pterilis,Onocleaceae
Pterinodes,Onocleaceae
Ragiopteris,Onocleaceae
Riediea,Onocleaceae
Botryopteris,Ophioglossaceae
Japanobotrychium,Ophioglossaceae
Lunularia,Ophioglossaceae
Ophiala,Ophioglossaceae
Osmundopteris,Ophioglossaceae
Aphyllocalpa,Osmundaceae
Struthopteris,Osmundaceae
Aglaonaria,Polypodiaceae
Alcicornium,Polypodiaceae
Amphoradenium,Polypodiaceae
Anapeltis,Polypodiaceae
Anarthropteris,Polypodiaceae
Anaxetum,Polypodiaceae
Apalophlebia,Polypodiaceae
Arthromeris,Polypodiaceae
Belvisia,Polypodiaceae
Campylogramma,Polypodiaceae
Caobangia,Polypodiaceae
Cheilogramma,Polypodiaceae
Cheilogramme,Polypodiaceae
Cheiropteris,Polypodiaceae
Chilopteris,Polypodiaceae
Christiopteris,Polypodiaceae
Christopteris,Polypodiaceae
Chrysopteris,Polypodiaceae
Colysis,Polypodiaceae
Craspedaria,Polypodiaceae
Crypsinopsis,Polypodiaceae
Crypsinus,Polypodiaceae
Cryptosorus,Polypodiaceae
Ctenopteris,Polypodiaceae
Cyclophorus,Polypodiaceae
Cyrtophlebium,Polypodiaceae
Dendroglossa,Polypodiaceae
Diblemma,Polypodiaceae
Dicranoglossum,Polypodiaceae
Drymoglossum,Polypodiaceae
Drymotaenium,Polypodiaceae
Drynaria,Polypodiaceae
Drynariopsis,Polypodiaceae
Dryostachyum,Polypodiaceae
Epidryopteris,Polypodiaceae
Eschatogramme,Polypodiaceae
Galeoglossa,Polypodiaceae
Glyphotaenium,Polypodiaceae
Grammatopteridium,Polypodiaceae
Grammatopteris,Polypodiaceae
Gyrosorium,Polypodiaceae
Hemistachyum,Polypodiaceae
Himalayopteris,Polypodiaceae
Holcosorus,Polypodiaceae
Holostachyum,Polypodiaceae
Hyalolepis,Polypodiaceae
Hyalotricha,Polypodiaceae
Hyalotrichopteris,Polypodiaceae
Kaulinia,Polypodiaceae
Kontumia,Polypodiaceae
